task_id,sha256,local_score,cost,local_pass,local_total,nodes,file_size,current_best_score,score_delta_vs_current_best_6122_onnx,path,error
task085,0cf2b40dcd4fe9bb85de2e251fdca74496734e7c804425012cb1c1110d27505c,13.363282920426,113178,3,3,20,2547,13.363282920426,0.000000000000,submissions/nadeem_6252_onnx/task085.onnx,
task086,a786a589e429892c1114751b2e5d6b83669038bb955a0fd41d08d037fc8dc020,14.839663363684,25857,3,3,42,3099,14.885239068720,-0.045575705036,submissions/nadeem_6252_onnx/task086.onnx,
task087,fd8bb9f6e85cbfcd68c2edb1cfd2b2968f4ef9066816b2763110e0086381148b,19.091917061831,368,3,3,2,394,19.070410856610,0.021506205221,submissions/nadeem_6252_onnx/task087.onnx,
task088,9e7ea13b994ebe4fc0cc8c2f4bfd462d7dea74b364500cdd005ee3c8f75db494,13.804995907876,72766,3,3,48,4099,13.468547230416,0.336448677460,submissions/nadeem_6252_onnx/task088.onnx,
task089,0a479a40d999937f174a12134d5f78bb97ea8a6c108f09e8f44398fe6cbbcd40,14.179382068192,50042,3,3,181,17792,14.179382068192,0.000000000000,submissions/nadeem_6252_onnx/task089.onnx,
task090,8032717a5846db3d60ae06a4fa0ff8af92327fd6b6102d39eff9ae246e44816a,13.943506674965,63354,3,3,246,19660,13.943506674965,0.000000000000,submissions/nadeem_6252_onnx/task090.onnx,
task091,54b4f81da947fe9e1062238aea5766f1b3401479292e90556a2fac1107b7a72c,14.151323325547,51466,3,3,43,4393,14.150760005440,0.000563320107,submissions/nadeem_6252_onnx/task091.onnx,
task092,f9932c64932cec343083563f2de6ba761604c06277a135415b9112af60d43ec7,14.257318765975,46290,3,3,30,2312,13.071487493631,1.185831272343,submissions/nadeem_6252_onnx/task092.onnx,
task093,cd70e073d1fdbf93b6402aa5356e8c8f09529cd3e6048fc5501c4e44bda9d3e5,15.354118052333,15458,3,3,56,6234,14.579416523185,0.774701529149,submissions/nadeem_6252_onnx/task093.onnx,
task094,9877a08be2f356fe67653342ee102820efd26cbf7f80ad6490bd10011209d2ed,15.745355702467,10453,3,3,25,2950,14.351722033752,1.393633668715,submissions/nadeem_6252_onnx/task094.onnx,
task095,eca4d38cd8606a930a722084789b856626fff5d4938c02546296c7f3cca109cf,18.186555400489,910,3,3,1,3950,18.186555400489,0.000000000000,submissions/nadeem_6252_onnx/task095.onnx,
task096,ce8db8caf6b5f6cc84108a5efe1947880da7d802796c33483bbc8132e48c4f3a,12.825227121311,193837,3,3,457,59457,11.918302379322,0.906924741989,submissions/nadeem_6252_onnx/task096.onnx,
task097,d3ac24b8f1ef82f43e7f57498baccf1d83880a6fe0266ba9484ac6eba27b8599,14.070255820988,55812,3,3,14,904,13.853482404884,0.216773416103,submissions/nadeem_6252_onnx/task097.onnx,
task098,8fff41bf99869a80261fa1ec8461431ffa90e7a616d10c1582642af88b241cde,18.186555400489,910,3,3,1,3836,18.186555400489,0.000000000000,submissions/nadeem_6252_onnx/task098.onnx,
task099,1e320d88cf0eac19c3c20b9c005a4be28ac50d4bf0a39015404f9deb22a0c31e,16.500970779211,4910,3,3,1,19839,16.500970779211,0.000000000000,submissions/nadeem_6252_onnx/task099.onnx,
task100,dceade053a44b3cc0ee481a2b109060da44f7e12dc34d583c301f1c9d6f84691,16.214919363460,6536,3,3,28,4954,16.135535944720,0.079383418740,submissions/nadeem_6252_onnx/task100.onnx,
task101,edd7e165314a501462e02577d29022d3eb27078c4eb090009d5f19a5f0c2fbf1,12.166837180697,374431,3,3,125,19538,10.951880429874,1.214956750823,submissions/nadeem_6252_onnx/task101.onnx,
task102,96828587e72bb4a7f3af9bce80fa95d9431a6740d99b3f93d32e3c48096cea60,15.557992505769,12607,3,3,48,6500,14.292472581952,1.265519923816,submissions/nadeem_6252_onnx/task102.onnx,
task103,b3c052cdc64fa19a71396b9bc19a9017a70fae4e77cf764756b4e7eac2a36d4f,19.737309811095,193,3,3,11,979,19.454822555520,0.282487255575,submissions/nadeem_6252_onnx/task103.onnx,
task104,2a9e28757c576c2248ca53c517bd98d43633ab65ecfa9542bebc9fc050ad2b0a,16.788788638207,3682,3,3,21,3505,16.767293990139,0.021494648068,submissions/nadeem_6252_onnx/task104.onnx,
task105,c98b3f63a51b63155aeb92f922cbf3f241f84285f5f1705a033e4773d25b47ea,16.138508135713,7055,3,3,63,8053,14.495480555812,1.643027579901,submissions/nadeem_6252_onnx/task105.onnx,
task106,9b54191da37371effdb80aaca05a4cddbabc19d25cbc1ebceae1d85a897c6698,17.940382371709,1164,3,3,13,2939,17.940382371709,0.000000000000,submissions/nadeem_6252_onnx/task106.onnx,
task107,486d43b947a10c096cd5abb2121faf5664c1d92f9d0196957cff677676caa5cf,13.799992367550,73131,3,3,52,31191,13.806577566471,-0.006585198922,submissions/nadeem_6252_onnx/task107.onnx,
task108,825c078fdd5cf248ddfcf1d91c57c125e6e2213304022e67810f2d3aaee2922c,17.504458056116,1800,3,3,1,7454,17.504458056116,0.000000000000,submissions/nadeem_6252_onnx/task108.onnx,
task109,d2ade70f5e497c980bfbb088e8cc977d66bc76830c18c7e11004e7eddfa1f726,13.539652865249,94878,3,3,39,5257,13.542048278178,-0.002395412929,submissions/nadeem_6252_onnx/task109.onnx,
task110,8c575949ac1a58e11b8b5888698200d932d67b0d0871c15aaa6a78816c46c929,13.399054500240,109201,3,3,176,22233,13.329165213469,0.069889286771,submissions/nadeem_6252_onnx/task110.onnx,
task111,c01911e7f5493ba19bcc496b439eb2106bd44f79305daefd94e102a96691a8ca,18.319145321210,797,3,3,15,1499,18.319145321210,0.000000000000,submissions/nadeem_6252_onnx/task111.onnx,
task112,c9d107e03bcc1559d05367b27fca4117a92b4a4e65d2103d0e57fd16eebe58ca,14.010141445218,59270,3,3,44,3987,14.010141445218,0.000000000000,submissions/nadeem_6252_onnx/task112.onnx,
task113,356a5f1e2200cf2560f6c836ce7d21eca6b6cad9e68015c2ae31639613ef9b09,21.598802618338,30,3,3,1,499,21.598802618338,0.000000000000,submissions/nadeem_6252_onnx/task113.onnx,
