source_index,source_label,contract_name,passed,skipped,reason,input_shape,expected_shape,actual_shape,mismatch_count,rule_label
11,ex11,original,True,False,ok,"(30, 27)","(30, 27)","(30, 27)",0,v4_plus9_compiler
11,ex11,task133_color_bijection,True,False,ok,"(30, 27)","(30, 27)","(30, 27)",0,v4_plus9_compiler
11,ex11,task133_transpose,True,False,ok,"(27, 30)","(27, 30)","(27, 30)",0,v4_plus9_compiler
11,ex11,task133_mirror_lr,True,False,ok,"(30, 27)","(30, 27)","(30, 27)",0,v4_plus9_compiler
11,ex11,task133_mirror_ud,True,False,ok,"(30, 27)","(30, 27)","(30, 27)",0,v4_plus9_compiler
11,ex11,task133_zero_pad_top_left,False,True,"input_shape_exceeds_limit:(31, 28)>(30, 30)","(31, 28)","(31, 28)",,,
11,ex11,task133_zero_pad_bottom_right,False,True,"input_shape_exceeds_limit:(31, 28)>(30, 30)","(31, 28)","(31, 28)",,,
12,ex12,original,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
12,ex12,task133_color_bijection,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
12,ex12,task133_transpose,True,False,ok,"(28, 24)","(28, 24)","(28, 24)",0,v4_plus9_compiler
12,ex12,task133_mirror_lr,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
12,ex12,task133_mirror_ud,True,False,ok,"(24, 28)","(24, 28)","(24, 28)",0,v4_plus9_compiler
12,ex12,task133_zero_pad_top_left,True,False,ok,"(25, 29)","(25, 29)","(25, 29)",0,v4_plus9_compiler
12,ex12,task133_zero_pad_bottom_right,True,False,ok,"(25, 29)","(25, 29)","(25, 29)",0,v4_plus9_compiler
13,ex13,original,True,False,ok,"(15, 25)","(15, 25)","(15, 25)",0,v4_plus9_compiler
13,ex13,task133_color_bijection,True,False,ok,"(15, 25)","(15, 25)","(15, 25)",0,v4_plus9_compiler
13,ex13,task133_transpose,True,False,ok,"(25, 15)","(25, 15)","(25, 15)",0,v4_plus9_compiler
13,ex13,task133_mirror_lr,True,False,ok,"(15, 25)","(15, 25)","(15, 25)",0,v4_plus9_compiler
13,ex13,task133_mirror_ud,True,False,ok,"(15, 25)","(15, 25)","(15, 25)",0,v4_plus9_compiler
13,ex13,task133_zero_pad_top_left,True,False,ok,"(16, 26)","(16, 26)","(16, 26)",0,v4_plus9_compiler
13,ex13,task133_zero_pad_bottom_right,True,False,ok,"(16, 26)","(16, 26)","(16, 26)",0,v4_plus9_compiler
14,ex14,original,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,v4_plus9_compiler
14,ex14,task133_color_bijection,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,v4_plus9_compiler
14,ex14,task133_transpose,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,v4_plus9_compiler
14,ex14,task133_mirror_lr,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,v4_plus9_compiler
14,ex14,task133_mirror_ud,True,False,ok,"(21, 21)","(21, 21)","(21, 21)",0,v4_plus9_compiler
14,ex14,task133_zero_pad_top_left,True,False,ok,"(22, 22)","(22, 22)","(22, 22)",0,v4_plus9_compiler
14,ex14,task133_zero_pad_bottom_right,True,False,ok,"(22, 22)","(22, 22)","(22, 22)",0,v4_plus9_compiler
15,ex15,original,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
15,ex15,task133_color_bijection,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
15,ex15,task133_transpose,True,False,ok,"(21, 27)","(21, 27)","(21, 27)",0,v4_plus9_compiler
15,ex15,task133_mirror_lr,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
15,ex15,task133_mirror_ud,True,False,ok,"(27, 21)","(27, 21)","(27, 21)",0,v4_plus9_compiler
15,ex15,task133_zero_pad_top_left,True,False,ok,"(28, 22)","(28, 22)","(28, 22)",0,v4_plus9_compiler
15,ex15,task133_zero_pad_bottom_right,True,False,ok,"(28, 22)","(28, 22)","(28, 22)",0,v4_plus9_compiler
16,ex16,original,True,False,ok,"(28, 29)","(28, 29)","(28, 29)",0,v4_plus9_compiler
16,ex16,task133_color_bijection,True,False,ok,"(28, 29)","(28, 29)","(28, 29)",0,v4_plus9_compiler
16,ex16,task133_transpose,True,False,ok,"(29, 28)","(29, 28)","(29, 28)",0,v4_plus9_compiler
16,ex16,task133_mirror_lr,True,False,ok,"(28, 29)","(28, 29)","(28, 29)",0,v4_plus9_compiler
