check,split,index,variant,eligible,exact,pixel_errors,false_positive_3,false_negative_3,details
far_additive_foreground_noise,arc-gen,116,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,117,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,117,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,117,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,118,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,118,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,118,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,119,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,119,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,119,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,120,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,120,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,120,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,121,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,121,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,121,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,122,n=1,1,0,116,0,116,
far_additive_foreground_noise,arc-gen,122,n=2,1,0,116,0,116,
far_additive_foreground_noise,arc-gen,122,n=3,1,0,116,0,116,
far_additive_foreground_noise,arc-gen,123,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,123,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,123,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,124,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,124,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,124,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,125,n=1,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,125,n=2,1,0,24,0,24,
far_additive_foreground_noise,arc-gen,125,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,126,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,126,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,126,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,127,n=1,1,0,48,0,48,
far_additive_foreground_noise,arc-gen,127,n=2,1,0,48,0,48,
far_additive_foreground_noise,arc-gen,127,n=3,1,0,48,0,48,
far_additive_foreground_noise,arc-gen,128,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,128,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,128,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,129,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,129,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,129,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,130,n=1,1,0,142,0,142,
far_additive_foreground_noise,arc-gen,130,n=2,1,0,142,0,142,
far_additive_foreground_noise,arc-gen,130,n=3,1,0,142,0,142,
far_additive_foreground_noise,arc-gen,131,n=1,1,0,72,0,72,
far_additive_foreground_noise,arc-gen,131,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,131,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,132,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,132,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,132,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,133,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,133,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,133,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,134,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,134,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,134,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,135,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,135,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,135,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,136,n=1,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,136,n=2,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,136,n=3,1,1,0,0,0,
far_additive_foreground_noise,arc-gen,137,n=1,1,0,21,0,21,
far_additive_foreground_noise,arc-gen,137,n=2,1,0,21,0,21,
far_additive_foreground_noise,arc-gen,137,n=3,1,0,21,0,21,
far_additive_foreground_noise,arc-gen,138,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,138,n=2,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,138,n=3,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,139,n=1,0,0,0,0,0,not enough far-background cells
far_additive_foreground_noise,arc-gen,139,n=2,0,0,0,0,0,not enough far-background cells
