task_id,file_size,node_count,init_count,init_bytes,init_byte_ratio,biggest_init_bytes,biggest_init_name,biggest_init_size,biggest_init_dtype,big_init_count_4k,big_init_count_64k,big_init_count_512k,has_fp16,has_lookup_ops,ops_top,ops_total,risk_score,risk_flags
task252,3201,38,19,734,0.2293,450,parity_mask,225,float16,0,0,0,1,0,"Slice:11, Cast:11, Mul:10, Sub:2, ReduceSum:1",38,0.5,fp16
task017,8529,66,28,1797,0.2107,441,zero_label21,441,uint8,0,0,0,1,0,"Equal:11, Gather:10, Cast:6, ReduceMax:6, Slice:5",66,0.5,fp16
task201,9668,135,20,1066,0.1103,338,v5,169,float16,0,0,0,1,0,"Squeeze:16, Mul:15, Gather:13, Cast:12, Less:12",135,0.5,fp16
task346,1580,13,12,532,0.3367,324,density_kernel,81,float32,0,0,0,0,1,"Add:2, Slice:1, Conv:1, ReduceMax:1, ReduceSum:1",13,0.5,has_lookup_ops
task042,8543,52,23,1720,0.2013,288,k_stamp_s3_main,144,float16,0,0,0,1,0,"Greater:12, Cast:8, Pad:8, Conv:6, ConvTranspose:6",52,0.5,fp16
task225,5688,40,24,1737,0.3054,288,v15,144,float16,0,0,0,1,0,"Mul:10, Cast:9, Slice:6, Pad:5, Conv:4",40,0.5,fp16
task102,6500,48,26,1280,0.1969,256,k_hole_k6,128,float16,0,0,0,1,0,"Greater:12, Cast:9, Conv:6, ConvTranspose:6, Or:6",48,0.5,fp16
task029,13589,88,15,808,0.0595,240,task029_shift_range,30,int64,0,0,0,1,0,"Cast:12, Sub:12, Greater:9, Add:9, ArgMax:8",88,0.5,fp16
task036,5632,56,17,908,0.1612,240,offsets30,30,int64,0,0,0,1,0,"Gather:8, Add:8, Sub:7, Reshape:6, Cast:5",56,0.5,fp16
task054,5551,107,16,900,0.1621,240,v10,30,int64,0,0,0,1,0,"Where:23, Gather:14, Mul:14, Greater:9, Max:9",107,0.5,fp16
task088,4099,48,20,888,0.2166,240,row_idx_5,30,int64,0,0,0,1,0,"Sub:7, ReduceMax:6, Add:6, Mul:5, Where:5",48,0.5,fp16
task185,18881,242,19,528,0.028,240,rng30,30,int64,0,0,0,0,1,"Equal:64, And:45, Gather:23, Cast:20, Not:20",242,0.5,has_lookup_ops
task216,11049,276,10,788,0.0713,240,v2,30,int64,0,0,0,1,0,"Cast:58, Less:38, Gather:22, Add:18, Unsqueeze:18",276,0.5,fp16
