task_id,v3_train_pass,v3_test_pass,v3_argen_pass,v3_total_pass_ratio,v3_status,v3_cost,v3_score,ours_total_pass_ratio,ours_status,ours_cost,ours_score,risk_label
task250,2/2,1/1,262/262,265/265,ok,12141,15.5957,265/265,ok,13401,15.4969,ok
task251,3/3,1/1,262/262,266/266,ok,100580,13.4813,266/266,ok,101479,13.4724,ok
task252,3/3,1/1,262/262,266/266,ok,38062,14.4530,266/266,ok,38286,14.4472,ok
task255,3/3,1/1,261/261,265/265,ok,1593763,10.7184,265/265,ok,42917144,7.4252,ok
task256,3/3,1/1,262/262,266/266,ok,21123,15.0419,266/266,ok,21291,15.0340,ok
task259,3/3,1/1,262/262,266/266,ok,6843,16.1690,266/266,ok,6885,16.1629,ok
task262,4/4,1/1,6/6,11/11,ok,3770,16.7652,11/11,ok,7433,16.0863,ok
task270,3/3,1/1,262/262,266/266,ok,27301,14.7853,266/266,ok,28745,14.7338,ok
task274,6/6,1/1,262/262,269/269,ok,8581,15.9427,269/269,ok,8761,15.9219,ok
task277,3/3,1/1,262/262,266/266,ok,14617,15.4101,266/266,ok,70600,13.8352,ok
task279,4/4,1/1,261/261,266/266,ok,26330,14.8215,266/266,ok,27422,14.7809,ok
task280,4/4,1/1,262/262,267/267,ok,90506,13.5868,267/267,ok,139246,13.1560,ok
task284,3/3,1/1,262/262,266/266,ok,102032,13.4670,266/266,ok,120032,13.3045,ok
task285,3/3,1/1,261/261,265/265,ok,402660,12.0942,265/265,ok,99576167,6.5836,ok
task290,3/3,1/1,262/262,266/266,ok,11708,15.6320,266/266,ok,110852,13.3840,ok
task292,5/5,1/1,22/22,28/28,ok,6305,16.2509,28/28,ok,6345,16.2446,ok
task293,4/4,1/1,262/262,267/267,ok,24763,14.8829,267/267,ok,25277,14.8623,ok
task297,3/3,1/1,261/261,265/265,ok,9172,15.8761,265/265,ok,9508,15.8401,ok
task300,4/4,1/1,262/262,267/267,ok,77546,13.7414,267/267,ok,77575,13.7410,ok
task301,3/3,1/1,262/262,266/266,ok,64988,13.9180,266/266,ok,75607,13.7667,ok
task302,3/3,1/1,262/262,266/266,ok,7796,16.0386,266/266,ok,21341,15.0316,ok
task304,3/3,1/1,262/262,266/266,ok,14494,15.4185,266/266,ok,14574,15.4130,ok
task306,2/2,1/1,262/262,265/265,ok,64444,13.9264,265/265,ok,89643,13.5964,ok
task308,3/3,1/1,262/262,266/266,ok,21799,15.0104,266/266,ok,49022,14.2000,ok
task310,3/3,1/1,262/262,266/266,ok,25739,14.8442,266/266,ok,58874,14.0168,ok
task315,3/3,1/1,262/262,266/266,ok,9557,15.8350,266/266,ok,13779,15.4691,ok
task316,3/3,1/1,262/262,266/266,ok,3903,16.7305,266/266,ok,51510,14.1505,ok
task318,4/4,1/1,262/262,267/267,ok,737,18.3974,267/267,ok,754,18.3746,ok
task319,4/4,1/1,262/262,267/267,ok,33508,14.5805,267/267,ok,26325352,7.9140,ok
task322,3/3,1/1,262/262,266/266,ok,865,18.2373,266/266,ok,1047,18.0463,ok
task323,2/2,1/1,169/169,172/172,ok,4533,16.5809,172/172,ok,30073,14.6886,ok
task324,3/3,1/1,262/262,266/266,ok,48870,14.2031,266/266,ok,616421,11.6683,ok
task326,3/3,1/1,262/262,266/266,ok,160,19.9248,266/266,ok,166,19.8880,ok
task334,7/7,2/2,262/262,271/271,ok,609,18.5882,271/271,ok,937,18.1573,ok
task335,3/3,1/1,262/262,266/266,ok,46249,14.2582,266/266,ok,49362,14.1931,ok
