split,index,encodable,matches_target,matches_bounded_rectangles,input_shape,output_shape
arc-gen,114,1,1,1,30x17,15x17
arc-gen,115,1,1,1,28x13,14x13
arc-gen,116,1,1,1,13x26,13x13
arc-gen,117,1,1,1,13x30,13x15
arc-gen,118,1,1,1,22x11,11x11
arc-gen,119,1,1,1,11x22,11x11
arc-gen,120,1,1,1,26x11,13x11
arc-gen,121,1,1,1,28x12,14x12
arc-gen,122,1,1,1,13x30,13x15
arc-gen,123,1,1,1,14x28,14x14
arc-gen,124,1,1,1,13x24,13x12
arc-gen,125,1,1,1,10x16,10x8
arc-gen,126,0,,,15x32,15x16
arc-gen,127,1,1,1,20x9,10x9
arc-gen,128,1,1,1,30x15,15x15
arc-gen,129,1,1,1,28x15,14x15
arc-gen,130,1,1,1,12x20,12x10
arc-gen,131,1,1,1,12x26,12x13
arc-gen,132,1,1,1,30x17,15x17
arc-gen,133,0,,,14x32,14x16
arc-gen,134,1,1,1,28x15,14x15
arc-gen,135,1,1,1,24x14,12x14
arc-gen,136,1,1,1,13x30,13x15
arc-gen,137,1,1,1,11x26,11x13
arc-gen,138,1,1,1,14x24,14x12
arc-gen,139,1,1,1,10x24,10x12
arc-gen,140,1,1,1,12x28,12x14
arc-gen,141,1,1,1,13x26,13x13
arc-gen,142,1,1,1,22x13,11x13
arc-gen,143,1,1,1,28x13,14x13
arc-gen,144,1,1,1,30x14,15x14
arc-gen,145,1,1,1,20x8,10x8
arc-gen,146,1,1,1,24x11,12x11
arc-gen,147,1,1,1,11x26,11x13
arc-gen,148,1,1,1,15x26,15x13
arc-gen,149,1,1,1,24x13,12x13
arc-gen,150,1,1,1,11x26,11x13
arc-gen,151,1,1,1,22x13,11x13
arc-gen,152,1,1,1,12x28,12x14
arc-gen,153,1,1,1,14x30,14x15
arc-gen,154,1,1,1,10x18,10x9
arc-gen,155,1,1,1,12x20,12x10
arc-gen,156,1,1,1,20x10,10x10
arc-gen,157,1,1,1,20x10,10x10
arc-gen,158,1,1,1,12x28,12x14
arc-gen,159,1,1,1,10x22,10x11
arc-gen,160,1,1,1,14x28,14x14
arc-gen,161,1,1,1,22x13,11x13
arc-gen,162,1,1,1,12x22,12x11
arc-gen,163,1,1,1,28x12,14x12
arc-gen,164,1,1,1,26x12,13x12
arc-gen,165,1,1,1,30x14,15x14
arc-gen,166,1,1,1,20x12,10x12
arc-gen,167,1,1,1,15x26,15x13
arc-gen,168,1,1,1,30x13,15x13
arc-gen,169,1,1,1,30x17,15x17
arc-gen,170,1,1,1,24x10,12x10
arc-gen,171,1,1,1,22x12,11x12
arc-gen,172,1,1,1,28x16,14x16
arc-gen,173,1,1,1,20x8,10x8
arc-gen,174,1,1,1,28x12,14x12
arc-gen,175,1,1,1,26x14,13x14
arc-gen,176,1,1,1,30x15,15x15
arc-gen,177,1,1,1,20x9,10x9
arc-gen,178,1,1,1,10x22,10x11
arc-gen,179,1,1,1,30x13,15x13
arc-gen,180,1,1,1,14x24,14x12
arc-gen,181,1,1,1,14x26,14x13
arc-gen,182,1,1,1,24x14,12x14
arc-gen,183,1,1,1,24x13,12x13
arc-gen,184,1,1,1,22x13,11x13
arc-gen,185,1,1,1,14x28,14x14
arc-gen,186,1,1,1,11x22,11x11
arc-gen,187,1,1,1,20x10,10x10
arc-gen,188,1,1,1,30x13,15x13
arc-gen,189,1,1,1,28x15,14x15
arc-gen,190,0,,,15x34,15x17
arc-gen,191,1,1,1,22x11,11x11
arc-gen,192,1,1,1,15x30,15x15
arc-gen,193,1,1,1,30x14,15x14
arc-gen,194,1,1,1,22x11,11x11
arc-gen,195,1,1,1,10x24,10x12
arc-gen,196,1,1,1,15x30,15x15
arc-gen,197,1,1,1,24x12,12x12
arc-gen,198,1,1,1,13x30,13x15
arc-gen,199,1,1,1,11x22,11x11
arc-gen,200,1,1,1,10x18,10x9
arc-gen,201,1,1,1,15x26,15x13
arc-gen,202,1,1,1,14x24,14x12
arc-gen,203,1,1,1,24x12,12x12
arc-gen,204,1,1,1,28x13,14x13
arc-gen,205,1,1,1,10x16,10x8
arc-gen,206,1,1,1,15x28,15x14
arc-gen,207,1,1,1,12x20,12x10
arc-gen,208,1,1,1,12x24,12x12
arc-gen,209,1,1,1,28x15,14x15
arc-gen,210,0,,,14x32,14x16
arc-gen,211,1,1,1,26x11,13x11
arc-gen,212,1,1,1,14x24,14x12
arc-gen,213,1,1,1,22x12,11x12
arc-gen,214,1,1,1,30x13,15x13
arc-gen,215,1,1,1,28x12,14x12
arc-gen,216,1,1,1,24x10,12x10
arc-gen,217,1,1,1,12x22,12x11
arc-gen,218,1,1,1,13x28,13x14
arc-gen,219,1,1,1,10x16,10x8
arc-gen,220,1,1,1,22x11,11x11
arc-gen,221,1,1,1,26x14,13x14
arc-gen,222,1,1,1,11x26,11x13
arc-gen,223,1,1,1,30x17,15x17
arc-gen,224,1,1,1,20x12,10x12
arc-gen,225,1,1,1,20x8,10x8
arc-gen,226,1,1,1,20x11,10x11
arc-gen,227,1,1,1,10x20,10x10
arc-gen,228,1,1,1,12x20,12x10
arc-gen,229,1,1,1,24x14,12x14
arc-gen,230,1,1,1,22x11,11x11
arc-gen,231,1,1,1,20x11,10x11
arc-gen,232,1,1,1,30x17,15x17
arc-gen,233,1,1,1,10x22,10x11
arc-gen,234,1,1,1,10x20,10x10
arc-gen,235,1,1,1,28x13,14x13
arc-gen,236,1,1,1,11x22,11x11
arc-gen,237,1,1,1,28x16,14x16
arc-gen,238,1,1,1,12x28,12x14
arc-gen,239,1,1,1,13x26,13x13
arc-gen,240,1,1,1,12x22,12x11
arc-gen,241,1,1,1,30x13,15x13
arc-gen,242,1,1,1,30x17,15x17
arc-gen,243,1,1,1,14x28,14x14
arc-gen,244,1,1,1,26x12,13x12
arc-gen,245,1,1,1,24x14,12x14
arc-gen,246,1,1,1,22x9,11x9
arc-gen,247,1,1,1,26x15,13x15
arc-gen,248,1,1,1,12x22,12x11
arc-gen,249,1,1,1,24x14,12x14
arc-gen,250,1,1,1,11x18,11x9
arc-gen,251,1,1,1,20x11,10x11
arc-gen,252,1,1,1,24x12,12x12
arc-gen,253,1,1,1,15x30,15x15
arc-gen,254,1,1,1,26x12,13x12
arc-gen,255,1,1,1,30x14,15x14
arc-gen,256,0,,,14x32,14x16
arc-gen,257,0,,,15x34,15x17
arc-gen,258,1,1,1,30x17,15x17
arc-gen,259,1,1,1,10x16,10x8
arc-gen,260,1,1,1,12x28,12x14
arc-gen,261,0,,,14x32,14x16
