task,source,score,cost,delta_vs_cur
155,current,18.01899425927827,1076.0,0.0
156,current,14.012979956230856,59102.0,0.0
157,konbu,13.646762182274845,85241.0,3.8354547591127854
158,konbu,12.883972419349876,182778.0,2.912755504854392
159,current,13.597994922615117,89501.0,0.0
160,current,15.676777470967144,11195.0,0.0
161,current,13.174397456688691,136708.0,0.0
162,current,13.944501582071068,63291.0,0.0
163,current,14.916318151686092,23949.0,0.0
164,current,21.59880261833785,30.0,0.0
165,current,13.87976163077872,67524.0,0.0
166,current,14.881844714630706,24789.0,0.0
167,current,18.470581161737776,685.0,0.0
168,current,15.071673504116951,20503.0,0.0
169,current,14.551604288400725,34489.0,0.0
170,current,13.68394136326576,82130.0,0.0
171,current,18.186555400489105,910.0,0.0
172,current,21.59880261833785,30.0,0.0
173,current,12.89103314541937,181492.0,0.0
174,current,14.120086625339017,53099.0,0.0
175,konbu,14.60554265240923,32678.0,0.9863072137771205
176,current,16.022853515191528,7920.0,0.0
177,current,13.778697696714817,74705.0,0.0
178,current,14.71359974382622,29331.0,0.0
179,current,25.0,0.0,0.0
180,current,16.084030688626395,7450.0,0.0
181,current,17.91493570604745,1194.0,0.0
182,konbu,12.74871979063222,209249.0,1.296541734904613
183,current,14.87922601563406,24854.0,0.0
184,current,14.302434548325486,44248.0,0.0
185,current,13.763645234726845,75838.0,0.0
186,current,18.560649628899903,626.0,0.0
187,current,13.426798209155445,106213.0,0.0
188,current,15.725371138141456,10664.0,0.0
189,current,14.886089460559042,24684.0,0.0
190,current,15.67597386362,11204.0,0.0
191,current,11.527906941253963,709342.0,0.0
192,current,14.093402023637156,54535.0,0.0
193,current,14.109558240338645,53661.0,0.0
194,current,17.504458056115745,1800.0,0.0
195,current,15.436962585454308,14229.0,0.0
196,current,14.618974770564057,32242.0,0.0
197,current,14.166555524825904,50688.0,0.0
198,current,13.449576458609688,103821.0,0.0
199,current,15.30989132872317,16157.0,0.0
200,biohack,15.739822393176643,10511.0,2.0523682314312133
201,current,13.554497211347206,93480.0,0.0
202,current,13.258187509088495,125720.0,0.0
203,current,13.631707320725468,86534.0,0.0
204,konbu,13.020526870757427,159448.0,0.03540269055427814
205,current,12.284591840365996,332837.0,0.0
206,current,13.89534357047067,66480.0,0.0
207,current,17.463636061595487,1875.0,0.0
208,current,13.566031166031484,92408.0,0.0
209,konbu,13.74537905143757,77236.0,3.280335916295691
210,current,21.59880261833785,30.0,0.0
211,current,17.504458056115745,1800.0,0.0
212,current,15.782783324084384,10069.0,0.0
213,current,14.134082681610028,52361.0,0.0
214,current,17.504458056115745,1800.0,0.0
215,current,14.321347587694286,43419.0,0.0
216,biohack,13.449663150031624,103812.0,0.005763040385648566
217,current,13.747647405002937,77061.0,0.0
218,current,14.948006239164648,23202.0,0.0
219,konbu,14.218172835018288,48138.0,5.796396322216163
220,current,18.197605236675688,900.0,0.0
221,current,14.06930665501856,55865.0,0.0
222,current,14.031198444197276,58035.0,0.0
223,current,17.504458056115745,1800.0,0.0
224,current,14.274048995433873,45522.0,0.0
225,current,15.67276587655232,11240.0,0.0
226,current,16.37682648504653,5559.0,0.0
227,current,17.018266713308115,2927.0,0.0
228,current,14.86993479941538,25086.0,0.0
229,current,17.74936448810132,1409.0,0.0
230,current,18.197605236675688,900.0,0.0
