solver,split,index,exact,pixel_errors,false_positive_3,false_negative_3,target_3,predicted_3,rectangles
core8_upper_bound,arc-gen,40,0,12,12,0,210,222,0
v2_train_only_rect_corridor,arc-gen,40,1,0,0,0,210,210,1
legacy_stub,arc-gen,41,0,280,0,280,280,0,0
core8_upper_bound,arc-gen,41,0,14,14,0,280,294,0
v2_train_only_rect_corridor,arc-gen,41,1,0,0,0,280,280,2
legacy_stub,arc-gen,42,0,167,0,167,167,0,0
core8_upper_bound,arc-gen,42,0,8,8,0,167,175,0
v2_train_only_rect_corridor,arc-gen,42,1,0,0,0,167,167,2
legacy_stub,arc-gen,43,0,256,0,256,256,0,0
core8_upper_bound,arc-gen,43,0,18,18,0,256,274,0
v2_train_only_rect_corridor,arc-gen,43,0,70,0,70,256,186,2
legacy_stub,arc-gen,44,0,378,0,378,378,0,0
core8_upper_bound,arc-gen,44,0,12,12,0,378,390,0
v2_train_only_rect_corridor,arc-gen,44,1,0,0,0,378,378,3
legacy_stub,arc-gen,45,0,164,0,164,164,0,0
core8_upper_bound,arc-gen,45,0,16,16,0,164,180,0
v2_train_only_rect_corridor,arc-gen,45,1,0,0,0,164,164,2
legacy_stub,arc-gen,46,0,247,0,247,247,0,0
core8_upper_bound,arc-gen,46,0,10,10,0,247,257,0
v2_train_only_rect_corridor,arc-gen,46,1,0,0,0,247,247,2
legacy_stub,arc-gen,47,0,364,0,364,364,0,0
core8_upper_bound,arc-gen,47,0,13,13,0,364,377,0
v2_train_only_rect_corridor,arc-gen,47,1,0,0,0,364,364,3
legacy_stub,arc-gen,48,0,138,0,138,138,0,0
core8_upper_bound,arc-gen,48,0,21,21,0,138,159,0
v2_train_only_rect_corridor,arc-gen,48,1,0,0,0,138,138,3
legacy_stub,arc-gen,49,0,156,0,156,156,0,0
core8_upper_bound,arc-gen,49,0,22,22,0,156,178,0
v2_train_only_rect_corridor,arc-gen,49,1,0,0,0,156,156,3
legacy_stub,arc-gen,50,0,266,0,266,266,0,0
core8_upper_bound,arc-gen,50,0,14,14,0,266,280,0
v2_train_only_rect_corridor,arc-gen,50,1,0,0,0,266,266,3
legacy_stub,arc-gen,51,0,340,0,340,340,0,0
core8_upper_bound,arc-gen,51,0,13,13,0,340,353,0
v2_train_only_rect_corridor,arc-gen,51,1,0,0,0,340,340,4
legacy_stub,arc-gen,52,0,142,0,142,142,0,0
core8_upper_bound,arc-gen,52,0,20,20,0,142,162,0
v2_train_only_rect_corridor,arc-gen,52,1,0,0,0,142,142,3
legacy_stub,arc-gen,53,0,246,0,246,246,0,0
core8_upper_bound,arc-gen,53,0,27,27,0,246,273,0
v2_train_only_rect_corridor,arc-gen,53,0,6,0,6,246,240,3
legacy_stub,arc-gen,54,0,212,0,212,212,0,0
core8_upper_bound,arc-gen,54,0,20,20,0,212,232,0
v2_train_only_rect_corridor,arc-gen,54,1,0,0,0,212,212,3
legacy_stub,arc-gen,55,0,252,0,252,252,0,0
core8_upper_bound,arc-gen,55,0,14,14,0,252,266,0
v2_train_only_rect_corridor,arc-gen,55,0,72,0,72,252,180,1
legacy_stub,arc-gen,56,0,236,0,236,236,0,0
core8_upper_bound,arc-gen,56,0,13,13,0,236,249,0
v2_train_only_rect_corridor,arc-gen,56,0,8,0,8,236,228,3
legacy_stub,arc-gen,57,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,57,0,8,8,0,240,248,0
v2_train_only_rect_corridor,arc-gen,57,1,0,0,0,240,240,1
legacy_stub,arc-gen,58,0,188,0,188,188,0,0
core8_upper_bound,arc-gen,58,0,22,22,0,188,210,0
v2_train_only_rect_corridor,arc-gen,58,1,0,0,0,188,188,3
legacy_stub,arc-gen,59,0,202,0,202,202,0,0
core8_upper_bound,arc-gen,59,0,18,18,0,202,220,0
v2_train_only_rect_corridor,arc-gen,59,1,0,0,0,202,202,3
legacy_stub,arc-gen,60,0,311,0,311,311,0,0
core8_upper_bound,arc-gen,60,0,14,14,0,311,325,0
v2_train_only_rect_corridor,arc-gen,60,1,0,0,0,311,311,2
legacy_stub,arc-gen,61,0,180,0,180,180,0,0
core8_upper_bound,arc-gen,61,0,20,20,0,180,200,0
v2_train_only_rect_corridor,arc-gen,61,1,0,0,0,180,180,2
legacy_stub,arc-gen,62,0,360,0,360,360,0,0
core8_upper_bound,arc-gen,62,0,10,10,0,360,370,0
v2_train_only_rect_corridor,arc-gen,62,1,0,0,0,360,360,2
legacy_stub,arc-gen,63,0,228,0,228,228,0,0
core8_upper_bound,arc-gen,63,0,23,23,0,228,251,0
v2_train_only_rect_corridor,arc-gen,63,0,7,0,7,228,221,3
legacy_stub,arc-gen,64,0,120,0,120,120,0,0
core8_upper_bound,arc-gen,64,0,6,6,0,120,126,0
v2_train_only_rect_corridor,arc-gen,64,1,0,0,0,120,120,1
legacy_stub,arc-gen,65,0,312,0,312,312,0,0
core8_upper_bound,arc-gen,65,0,16,16,0,312,328,0
v2_train_only_rect_corridor,arc-gen,65,1,0,0,0,312,312,3
legacy_stub,arc-gen,66,0,230,0,230,230,0,0
core8_upper_bound,arc-gen,66,0,13,13,0,230,243,0
v2_train_only_rect_corridor,arc-gen,66,1,0,0,0,230,230,2
legacy_stub,arc-gen,67,0,249,0,249,249,0,0
core8_upper_bound,arc-gen,67,0,9,9,0,249,258,0
v2_train_only_rect_corridor,arc-gen,67,0,63,0,63,249,186,2
legacy_stub,arc-gen,68,0,180,0,180,180,0,0
core8_upper_bound,arc-gen,68,0,11,11,0,180,191,0
v2_train_only_rect_corridor,arc-gen,68,1,0,0,0,180,180,3
legacy_stub,arc-gen,69,0,321,0,321,321,0,0
core8_upper_bound,arc-gen,69,0,11,11,0,321,332,0
v2_train_only_rect_corridor,arc-gen,69,1,0,0,0,321,321,4
legacy_stub,arc-gen,70,0,199,0,199,199,0,0
core8_upper_bound,arc-gen,70,0,10,10,0,199,209,0
v2_train_only_rect_corridor,arc-gen,70,1,0,0,0,199,199,2
legacy_stub,arc-gen,71,0,214,0,214,214,0,0
core8_upper_bound,arc-gen,71,0,15,15,0,214,229,0
v2_train_only_rect_corridor,arc-gen,71,0,64,0,64,214,150,1
legacy_stub,arc-gen,72,0,209,0,209,209,0,0
core8_upper_bound,arc-gen,72,0,19,19,0,209,228,0
v2_train_only_rect_corridor,arc-gen,72,1,0,0,0,209,209,2
legacy_stub,arc-gen,73,0,282,0,282,282,0,0
core8_upper_bound,arc-gen,73,0,9,9,0,282,291,0
v2_train_only_rect_corridor,arc-gen,73,1,0,0,0,282,282,2
legacy_stub,arc-gen,74,0,353,0,353,353,0,0
core8_upper_bound,arc-gen,74,0,3,3,0,353,356,0
v2_train_only_rect_corridor,arc-gen,74,1,0,0,0,353,353,3
legacy_stub,arc-gen,75,0,132,0,132,132,0,0
core8_upper_bound,arc-gen,75,0,7,7,0,132,139,0
v2_train_only_rect_corridor,arc-gen,75,1,0,0,0,132,132,2
legacy_stub,arc-gen,76,0,222,0,222,222,0,0
core8_upper_bound,arc-gen,76,0,11,11,0,222,233,0
v2_train_only_rect_corridor,arc-gen,76,0,64,0,64,222,158,2
legacy_stub,arc-gen,77,0,210,0,210,210,0,0
core8_upper_bound,arc-gen,77,0,3,3,0,210,213,0
v2_train_only_rect_corridor,arc-gen,77,1,0,0,0,210,210,1
legacy_stub,arc-gen,78,0,260,0,260,260,0,0
core8_upper_bound,arc-gen,78,0,33,33,0,260,293,0
v2_train_only_rect_corridor,arc-gen,78,0,10,2,8,260,254,4
legacy_stub,arc-gen,79,0,280,0,280,280,0,0
core8_upper_bound,arc-gen,79,0,13,13,0,280,293,0
v2_train_only_rect_corridor,arc-gen,79,1,0,0,0,280,280,2
legacy_stub,arc-gen,80,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,80,0,7,7,0,240,247,0
v2_train_only_rect_corridor,arc-gen,80,1,0,0,0,240,240,1
legacy_stub,arc-gen,81,0,309,0,309,309,0,0
core8_upper_bound,arc-gen,81,0,17,17,0,309,326,0
v2_train_only_rect_corridor,arc-gen,81,0,48,0,48,309,261,3
legacy_stub,arc-gen,82,0,161,0,161,161,0,0
core8_upper_bound,arc-gen,82,0,20,20,0,161,181,0
v2_train_only_rect_corridor,arc-gen,82,1,0,0,0,161,161,2
legacy_stub,arc-gen,83,0,172,0,172,172,0,0
core8_upper_bound,arc-gen,83,0,10,10,0,172,182,0
v2_train_only_rect_corridor,arc-gen,83,0,72,0,72,172,100,1
legacy_stub,arc-gen,84,0,228,0,228,228,0,0
core8_upper_bound,arc-gen,84,0,13,13,0,228,241,0
v2_train_only_rect_corridor,arc-gen,84,1,0,0,0,228,228,4
legacy_stub,arc-gen,85,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,85,0,13,13,0,240,253,0
v2_train_only_rect_corridor,arc-gen,85,1,0,0,0,240,240,1
legacy_stub,arc-gen,86,0,336,0,336,336,0,0
core8_upper_bound,arc-gen,86,0,14,14,0,336,350,0
v2_train_only_rect_corridor,arc-gen,86,1,0,0,0,336,336,2
legacy_stub,arc-gen,87,0,174,0,174,174,0,0
core8_upper_bound,arc-gen,87,0,29,29,0,174,203,0
v2_train_only_rect_corridor,arc-gen,87,1,0,0,0,174,174,3
legacy_stub,arc-gen,88,0,206,0,206,206,0,0
core8_upper_bound,arc-gen,88,0,20,20,0,206,226,0
v2_train_only_rect_corridor,arc-gen,88,1,0,0,0,206,206,3
legacy_stub,arc-gen,89,0,235,0,235,235,0,0
core8_upper_bound,arc-gen,89,0,17,17,0,235,252,0
v2_train_only_rect_corridor,arc-gen,89,1,0,0,0,235,235,3
legacy_stub,arc-gen,90,0,258,0,258,258,0,0
core8_upper_bound,arc-gen,90,0,28,28,0,258,286,0
v2_train_only_rect_corridor,arc-gen,90,1,0,0,0,258,258,3
legacy_stub,arc-gen,91,0,180,0,180,180,0,0
core8_upper_bound,arc-gen,91,0,11,11,0,180,191,0
v2_train_only_rect_corridor,arc-gen,91,1,0,0,0,180,180,2
legacy_stub,arc-gen,92,0,175,0,175,175,0,0
core8_upper_bound,arc-gen,92,0,12,12,0,175,187,0
v2_train_only_rect_corridor,arc-gen,92,1,0,0,0,175,175,1
legacy_stub,arc-gen,93,0,210,0,210,210,0,0
core8_upper_bound,arc-gen,93,0,7,7,0,210,217,0
v2_train_only_rect_corridor,arc-gen,93,1,0,0,0,210,210,1
legacy_stub,arc-gen,94,0,322,0,322,322,0,0
core8_upper_bound,arc-gen,94,0,17,17,0,322,339,0
v2_train_only_rect_corridor,arc-gen,94,1,0,0,0,322,322,3
legacy_stub,arc-gen,95,0,120,0,120,120,0,0
core8_upper_bound,arc-gen,95,0,11,11,0,120,131,0
v2_train_only_rect_corridor,arc-gen,95,1,0,0,0,120,120,1
legacy_stub,arc-gen,96,0,268,0,268,268,0,0
core8_upper_bound,arc-gen,96,0,15,15,0,268,283,0
v2_train_only_rect_corridor,arc-gen,96,1,0,0,0,268,268,3
legacy_stub,arc-gen,97,0,194,0,194,194,0,0
core8_upper_bound,arc-gen,97,0,32,32,0,194,226,0
v2_train_only_rect_corridor,arc-gen,97,1,0,0,0,194,194,4
legacy_stub,arc-gen,98,0,298,0,298,298,0,0
core8_upper_bound,arc-gen,98,0,15,15,0,298,313,0
v2_train_only_rect_corridor,arc-gen,98,1,0,0,0,298,298,2
legacy_stub,arc-gen,99,0,184,0,184,184,0,0
core8_upper_bound,arc-gen,99,0,20,20,0,184,204,0
v2_train_only_rect_corridor,arc-gen,99,1,0,0,0,184,184,3
legacy_stub,arc-gen,100,0,206,0,206,206,0,0
core8_upper_bound,arc-gen,100,0,18,18,0,206,224,0
v2_train_only_rect_corridor,arc-gen,100,1,0,0,0,206,206,2
legacy_stub,arc-gen,101,0,220,0,220,220,0,0
core8_upper_bound,arc-gen,101,0,19,19,0,220,239,0
v2_train_only_rect_corridor,arc-gen,101,1,0,0,0,220,220,4
legacy_stub,arc-gen,102,0,182,0,182,182,0,0
core8_upper_bound,arc-gen,102,0,32,32,0,182,214,0
v2_train_only_rect_corridor,arc-gen,102,1,0,0,0,182,182,3
legacy_stub,arc-gen,103,0,289,0,289,289,0,0
core8_upper_bound,arc-gen,103,0,22,22,0,289,311,0
v2_train_only_rect_corridor,arc-gen,103,0,16,0,16,289,273,2
legacy_stub,arc-gen,104,0,234,0,234,234,0,0
core8_upper_bound,arc-gen,104,0,6,6,0,234,240,0
v2_train_only_rect_corridor,arc-gen,104,1,0,0,0,234,234,2
legacy_stub,arc-gen,105,0,120,0,120,120,0,0
core8_upper_bound,arc-gen,105,0,17,17,0,120,137,0
v2_train_only_rect_corridor,arc-gen,105,1,0,0,0,120,120,1
legacy_stub,arc-gen,106,0,270,0,270,270,0,0
core8_upper_bound,arc-gen,106,0,10,10,0,270,280,0
v2_train_only_rect_corridor,arc-gen,106,1,0,0,0,270,270,1
legacy_stub,arc-gen,107,0,156,0,156,156,0,0
core8_upper_bound,arc-gen,107,0,17,17,0,156,173,0
v2_train_only_rect_corridor,arc-gen,107,1,0,0,0,156,156,2
legacy_stub,arc-gen,108,0,139,0,139,139,0,0
core8_upper_bound,arc-gen,108,0,13,13,0,139,152,0
v2_train_only_rect_corridor,arc-gen,108,1,0,0,0,139,139,2
legacy_stub,arc-gen,109,0,417,0,417,417,0,0
core8_upper_bound,arc-gen,109,0,10,10,0,417,427,0
v2_train_only_rect_corridor,arc-gen,109,1,0,0,0,417,417,3
legacy_stub,arc-gen,110,0,289,0,289,289,0,0
core8_upper_bound,arc-gen,110,0,14,14,0,289,303,0
v2_train_only_rect_corridor,arc-gen,110,1,0,0,0,289,289,3
legacy_stub,arc-gen,111,0,222,0,222,222,0,0
core8_upper_bound,arc-gen,111,0,13,13,0,222,235,0
v2_train_only_rect_corridor,arc-gen,111,1,0,0,0,222,222,2
legacy_stub,arc-gen,112,0,172,0,172,172,0,0
core8_upper_bound,arc-gen,112,0,22,22,0,172,194,0
v2_train_only_rect_corridor,arc-gen,112,1,0,0,0,172,172,4
legacy_stub,arc-gen,113,0,216,0,216,216,0,0
core8_upper_bound,arc-gen,113,0,39,39,0,216,255,0
v2_train_only_rect_corridor,arc-gen,113,0,18,0,18,216,198,2
legacy_stub,arc-gen,114,0,212,0,212,212,0,0
core8_upper_bound,arc-gen,114,0,17,17,0,212,229,0
v2_train_only_rect_corridor,arc-gen,114,0,72,0,72,212,140,2
legacy_stub,arc-gen,115,0,167,0,167,167,0,0
core8_upper_bound,arc-gen,115,0,12,12,0,167,179,0
v2_train_only_rect_corridor,arc-gen,115,1,0,0,0,167,167,2
legacy_stub,arc-gen,116,0,255,0,255,255,0,0
core8_upper_bound,arc-gen,116,0,14,14,0,255,269,0
v2_train_only_rect_corridor,arc-gen,116,1,0,0,0,255,255,3
legacy_stub,arc-gen,117,0,195,0,195,195,0,0
core8_upper_bound,arc-gen,117,0,14,14,0,195,209,0
v2_train_only_rect_corridor,arc-gen,117,1,0,0,0,195,195,4
legacy_stub,arc-gen,118,0,186,0,186,186,0,0
core8_upper_bound,arc-gen,118,0,29,29,0,186,215,0
v2_train_only_rect_corridor,arc-gen,118,1,0,0,0,186,186,3
legacy_stub,arc-gen,119,0,180,0,180,180,0,0
core8_upper_bound,arc-gen,119,0,8,8,0,180,188,0
v2_train_only_rect_corridor,arc-gen,119,1,0,0,0,180,180,1
legacy_stub,arc-gen,120,0,254,0,254,254,0,0
core8_upper_bound,arc-gen,120,0,23,23,0,254,277,0
v2_train_only_rect_corridor,arc-gen,120,1,0,0,0,254,254,3
legacy_stub,arc-gen,121,0,247,0,247,247,0,0
core8_upper_bound,arc-gen,121,0,5,5,0,247,252,0
v2_train_only_rect_corridor,arc-gen,121,1,0,0,0,247,247,2
legacy_stub,arc-gen,122,0,384,0,384,384,0,0
core8_upper_bound,arc-gen,122,0,13,13,0,384,397,0
v2_train_only_rect_corridor,arc-gen,122,0,116,0,116,384,268,3
legacy_stub,arc-gen,123,0,180,0,180,180,0,0
core8_upper_bound,arc-gen,123,0,35,35,0,180,215,0
v2_train_only_rect_corridor,arc-gen,123,1,0,0,0,180,180,3
legacy_stub,arc-gen,124,0,238,0,238,238,0,0
core8_upper_bound,arc-gen,124,0,17,17,0,238,255,0
v2_train_only_rect_corridor,arc-gen,124,1,0,0,0,238,238,2
legacy_stub,arc-gen,125,0,426,0,426,426,0,0
core8_upper_bound,arc-gen,125,0,17,17,0,426,443,0
v2_train_only_rect_corridor,arc-gen,125,0,24,0,24,426,402,3
legacy_stub,arc-gen,126,0,280,0,280,280,0,0
core8_upper_bound,arc-gen,126,0,13,13,0,280,293,0
v2_train_only_rect_corridor,arc-gen,126,1,0,0,0,280,280,2
legacy_stub,arc-gen,127,0,291,0,291,291,0,0
core8_upper_bound,arc-gen,127,0,21,21,0,291,312,0
v2_train_only_rect_corridor,arc-gen,127,0,48,0,48,291,243,3
legacy_stub,arc-gen,128,0,210,0,210,210,0,0
core8_upper_bound,arc-gen,128,0,5,5,0,210,215,0
v2_train_only_rect_corridor,arc-gen,128,1,0,0,0,210,210,1
legacy_stub,arc-gen,129,0,236,0,236,236,0,0
core8_upper_bound,arc-gen,129,0,18,18,0,236,254,0
v2_train_only_rect_corridor,arc-gen,129,1,0,0,0,236,236,4
legacy_stub,arc-gen,130,0,262,0,262,262,0,0
core8_upper_bound,arc-gen,130,0,22,22,0,262,284,0
v2_train_only_rect_corridor,arc-gen,130,0,142,0,142,262,120,2
legacy_stub,arc-gen,131,0,210,0,210,210,0,0
core8_upper_bound,arc-gen,131,0,19,19,0,210,229,0
v2_train_only_rect_corridor,arc-gen,131,0,72,0,72,210,138,2
legacy_stub,arc-gen,132,0,182,0,182,182,0,0
core8_upper_bound,arc-gen,132,0,15,15,0,182,197,0
v2_train_only_rect_corridor,arc-gen,132,1,0,0,0,182,182,3
legacy_stub,arc-gen,133,0,240,0,240,240,0,0
core8_upper_bound,arc-gen,133,0,10,10,0,240,250,0
v2_train_only_rect_corridor,arc-gen,133,1,0,0,0,240,240,2
legacy_stub,arc-gen,134,0,270,0,270,270,0,0
core8_upper_bound,arc-gen,134,0,17,17,0,270,287,0
v2_train_only_rect_corridor,arc-gen,134,1,0,0,0,270,270,2
legacy_stub,arc-gen,135,0,236,0,236,236,0,0
core8_upper_bound,arc-gen,135,0,10,10,0,236,246,0
