task_id,pass,total,score,cost,anchor_score,anchor_cost,delta,error,path
97,267,267,14.070255820987903,55812,14.07029165621752,55810,-3.583522961747576e-05,,/tmp/ng_seddik_precision/submission/task097.onnx
98,266,266,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task098.onnx
99,265,265,16.500970779211436,4910,16.500970779211436,4910,0.0,,/tmp/ng_seddik_precision/submission/task099.onnx
100,266,266,16.21491936346016,6536,16.21491936346016,6536,0.0,,/tmp/ng_seddik_precision/submission/task100.onnx
101,266,266,12.166837180696787,374431,12.166837180696787,374431,0.0,,/tmp/ng_seddik_precision/submission/task101.onnx
102,267,267,15.55799250576873,12607,15.55799250576873,12607,0.0,,/tmp/ng_seddik_precision/submission/task102.onnx
103,223,223,19.737309811095116,193,19.758252984940356,189,-0.02094317384523947,,/tmp/ng_seddik_precision/submission/task103.onnx
104,7,7,16.788788638206977,3682,16.788788638206977,3682,0.0,,/tmp/ng_seddik_precision/submission/task104.onnx
105,266,266,16.138508135713085,7055,16.138508135713085,7055,0.0,,/tmp/ng_seddik_precision/submission/task105.onnx
106,266,266,17.940382371708615,1164,17.940382371708615,1164,0.0,,/tmp/ng_seddik_precision/submission/task106.onnx
107,266,266,13.799992367549814,73131,13.806577566471388,72651,-0.0065851989215737206,,/tmp/ng_seddik_precision/submission/task107.onnx
108,266,266,17.504458056115745,1800,17.504458056115745,1800,0.0,,/tmp/ng_seddik_precision/submission/task108.onnx
109,266,266,13.539652865248629,94878,13.542354713857948,94622,-0.002701848609319768,,/tmp/ng_seddik_precision/submission/task109.onnx
110,266,266,13.40677647534595,108361,13.41143844532834,107857,-0.004661969982389991,,/tmp/ng_seddik_precision/submission/task110.onnx
111,265,265,18.319145321209785,797,18.319145321209785,797,0.0,,/tmp/ng_seddik_precision/submission/task111.onnx
112,266,266,14.010141445218116,59270,14.010141445218116,59270,0.0,,/tmp/ng_seddik_precision/submission/task112.onnx
113,265,265,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task113.onnx
114,266,266,17.869101169703654,1250,17.869101169703654,1250,0.0,,/tmp/ng_seddik_precision/submission/task114.onnx
115,266,266,16.67663430556392,4119,16.67663430556392,4119,0.0,,/tmp/ng_seddik_precision/submission/task115.onnx
116,267,267,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task116.onnx
117,265,265,15.202317506360849,17992,15.219584445053867,17684,-0.017266938693017764,,/tmp/ng_seddik_precision/submission/task117.onnx
118,267,267,13.336192047071197,116286,13.336553290785615,116244,-0.0003612437144173697,,/tmp/ng_seddik_precision/submission/task118.onnx
119,266,266,15.280435285624801,16640,15.280435285624801,16640,0.0,,/tmp/ng_seddik_precision/submission/task119.onnx
120,266,266,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task120.onnx
121,266,266,16.215837777729526,6530,16.215837777729526,6530,0.0,,/tmp/ng_seddik_precision/submission/task121.onnx
122,266,266,17.17196196787417,2510,17.17196196787417,2510,0.0,,/tmp/ng_seddik_precision/submission/task122.onnx
123,265,265,16.630379173050898,4314,16.680282613149394,4104,-0.04990344009849679,,/tmp/ng_seddik_precision/submission/task123.onnx
124,267,267,15.634966238347337,11673,15.70596206900225,10873,-0.07099583065491366,,/tmp/ng_seddik_precision/submission/task124.onnx
125,265,265,15.495722161409528,13417,15.495722161409528,13417,0.0,,/tmp/ng_seddik_precision/submission/task125.onnx
126,266,266,13.636839844664504,86091,13.636839844664504,86091,0.0,,/tmp/ng_seddik_precision/submission/task126.onnx
127,267,267,18.197605236675688,900,18.197605236675688,900,0.0,,/tmp/ng_seddik_precision/submission/task127.onnx
128,266,266,13.538115229744358,95024,13.538115229744358,95024,0.0,,/tmp/ng_seddik_precision/submission/task128.onnx
129,265,265,18.258299305347947,847,18.306676331730053,807,-0.048377026382105726,,/tmp/ng_seddik_precision/submission/task129.onnx
130,265,265,15.322911291498754,15948,15.322911291498754,15948,0.0,,/tmp/ng_seddik_precision/submission/task130.onnx
131,266,266,14.295632567101045,44550,14.295632567101045,44550,0.0,,/tmp/ng_seddik_precision/submission/task131.onnx
132,267,267,14.709279200950512,29458,14.709279200950512,29458,0.0,,/tmp/ng_seddik_precision/submission/task132.onnx
133,267,267,12.810626004092878,196688,12.810666678474124,196680,-4.067438124621958e-05,,/tmp/ng_seddik_precision/submission/task133.onnx
134,266,266,15.576162453761413,12380,15.576162453761413,12380,0.0,,/tmp/ng_seddik_precision/submission/task134.onnx
135,266,266,19.113895968549844,360,19.113895968549844,360,0.0,,/tmp/ng_seddik_precision/submission/task135.onnx
136,266,266,16.515950027177016,4837,16.515950027177016,4837,0.0,,/tmp/ng_seddik_precision/submission/task136.onnx
137,266,266,13.809044440650876,72472,14.031215675327037,58034,-0.22217123467616062,,/tmp/ng_seddik_precision/submission/task137.onnx
138,266,266,14.211361567031112,48467,14.41850428574673,39399,-0.20714271871561785,,/tmp/ng_seddik_precision/submission/task138.onnx
139,265,265,16.803012072741105,3630,16.803012072741105,3630,0.0,,/tmp/ng_seddik_precision/submission/task139.onnx
140,265,265,19.09191706183107,368,19.09191706183107,368,0.0,,/tmp/ng_seddik_precision/submission/task140.onnx
141,265,265,15.33103297180142,15819,15.33103297180142,15819,0.0,,/tmp/ng_seddik_precision/submission/task141.onnx
142,266,266,17.504458056115745,1800,17.504458056115745,1800,0.0,,/tmp/ng_seddik_precision/submission/task142.onnx
143,266,266,15.12486048297936,19441,15.12486048297936,19441,0.0,,/tmp/ng_seddik_precision/submission/task143.onnx
144,267,267,18.35231162643667,771,18.35231162643667,771,0.0,,/tmp/ng_seddik_precision/submission/task144.onnx
145,267,267,13.796906788126128,73357,13.847226946929018,69757,-0.05032015880289009,,/tmp/ng_seddik_precision/submission/task145.onnx
146,267,267,17.27865138738205,2256,17.27865138738205,2256,0.0,,/tmp/ng_seddik_precision/submission/task146.onnx
147,267,267,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task147.onnx
148,266,266,14.99988495388028,22029,14.99988495388028,22029,0.0,,/tmp/ng_seddik_precision/submission/task148.onnx
149,267,267,19.54041448585584,235,19.85833644349734,171,-0.31792195764149866,,/tmp/ng_seddik_precision/submission/task149.onnx
150,266,266,18.078341815848873,1014,18.27616755917879,832,-0.19782574332991842,,/tmp/ng_seddik_precision/submission/task150.onnx
151,266,266,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task151.onnx
152,267,267,17.504458056115745,1800,17.504458056115745,1800,0.0,,/tmp/ng_seddik_precision/submission/task152.onnx
153,265,265,15.018672163345535,21619,15.056186575992307,20823,-0.03751441264677169,,/tmp/ng_seddik_precision/submission/task153.onnx
154,266,266,14.27290734254795,45574,14.322200112486419,43382,-0.04929276993846976,,/tmp/ng_seddik_precision/submission/task154.onnx
155,266,266,18.078341815848873,1014,18.27616755917879,832,-0.19782574332991842,,/tmp/ng_seddik_precision/submission/task155.onnx
156,265,265,14.81313964660019,26552,14.82454063746774,26251,-0.011400990867549865,,/tmp/ng_seddik_precision/submission/task156.onnx
157,265,265,13.654428664701939,84590,13.779460989086141,74648,-0.1250323243842022,,/tmp/ng_seddik_precision/submission/task157.onnx
158,266,266,12.8281772426697,193266,12.838380935224132,191304,-0.010203692554432209,,/tmp/ng_seddik_precision/submission/task158.onnx
159,265,265,13.597994922615115,89501,13.597994922615115,89501,0.0,,/tmp/ng_seddik_precision/submission/task159.onnx
160,265,265,16.56923653658215,4586,16.56923653658215,4586,0.0,,/tmp/ng_seddik_precision/submission/task160.onnx
161,266,266,13.923426777221719,64639,13.923426777221719,64639,0.0,,/tmp/ng_seddik_precision/submission/task161.onnx
162,266,266,13.944501582071068,63291,13.944501582071068,63291,0.0,,/tmp/ng_seddik_precision/submission/task162.onnx
163,267,267,14.910655480935679,24085,14.916318151686092,23949,-0.005662670750412602,,/tmp/ng_seddik_precision/submission/task163.onnx
164,267,267,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task164.onnx
165,265,265,13.87976163077872,67524,13.87976163077872,67524,0.0,,/tmp/ng_seddik_precision/submission/task165.onnx
166,266,266,14.881844714630706,24789,14.881844714630706,24789,0.0,,/tmp/ng_seddik_precision/submission/task166.onnx
167,268,268,18.294360905139996,817,18.470581161737776,685,-0.17622025659778018,,/tmp/ng_seddik_precision/submission/task167.onnx
168,265,265,15.076562772156251,20403,15.076562772156251,20403,0.0,,/tmp/ng_seddik_precision/submission/task168.onnx
169,266,266,14.929769949800432,23629,14.929769949800432,23629,0.0,,/tmp/ng_seddik_precision/submission/task169.onnx
170,266,266,13.728331141770909,78564,13.728331141770909,78564,0.0,,/tmp/ng_seddik_precision/submission/task170.onnx
171,54,54,18.186555400489105,910,18.186555400489105,910,0.0,,/tmp/ng_seddik_precision/submission/task171.onnx
172,267,267,21.598802618337846,30,21.598802618337846,30,0.0,,/tmp/ng_seddik_precision/submission/task172.onnx
173,266,266,12.926071138839562,175243,12.926071138839562,175243,0.0,,/tmp/ng_seddik_precision/submission/task173.onnx
174,266,266,14.140635684557754,52019,14.140635684557754,52019,0.0,,/tmp/ng_seddik_precision/submission/task174.onnx
175,266,266,13.54026436354389,94820,13.619909027688353,87561,-0.07964466414446214,,/tmp/ng_seddik_precision/submission/task175.onnx
176,25,25,16.022853515191528,7920,16.022853515191528,7920,0.0,,/tmp/ng_seddik_precision/submission/task176.onnx
177,265,265,13.978195575521427,61194,14.000804371943152,59826,-0.022608796421724975,,/tmp/ng_seddik_precision/submission/task177.onnx
178,268,268,14.715374185513443,29279,14.715374185513443,29279,0.0,,/tmp/ng_seddik_precision/submission/task178.onnx
179,267,267,25.0,0,25.0,0,0.0,,/tmp/ng_seddik_precision/submission/task179.onnx
180,268,268,15.910923715516857,8858,16.084030688626395,7450,-0.1731069731095385,,/tmp/ng_seddik_precision/submission/task180.onnx
181,266,266,17.91493570604745,1194,17.91493570604745,1194,0.0,,/tmp/ng_seddik_precision/submission/task181.onnx
182,267,267,14.22901287975965,47619,14.229685106325308,47587,-0.0006722265656584625,,/tmp/ng_seddik_precision/submission/task182.onnx
183,265,265,14.87826084223009,24878,14.87922601563406,24854,-0.0009651734039710647,,/tmp/ng_seddik_precision/submission/task183.onnx
